[TPRdata]																
1.1235558	1.121904842	1.119741469	1.118830998	1.116810598	1.114510292	1.11218345	1.111246163	1.108750166	1.107247735	1.10575628	1.104570803	1.104188735	1.087610479	1.097996322	1.091743795	1.083220677
1.060542889	1.059758538	1.058730744	1.05829819	1.057338321	1.056245472	1.055140016	1.054694722	1.053508902	1.053460888	1.05291253	1.052013969	1.052054013	1.047421392	1.046078669	1.045552225	1.042997099
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0.936120268	0.937721092	0.93770382	0.938850958	0.938439579	0.939811633	0.939764859	0.940216933	0.941420807	0.951850728	0.952913134	0.951598279	0.952080328	0.954460049	0.952551206	0.953337507	0.953174292
0.894151873	0.897227399	0.897194216	0.899398113	0.898607765	0.901243776	0.901153913	0.902022443	0.904335343	0.90477241	0.905762211	0.906243882	0.906341459	0.907487451	0.906651248	0.908175872	0.910282772
0.845595828	0.849983583	0.849936242	0.853080472	0.851952907	0.855713619	0.855585415	0.856824519	0.86012426	0.859608701	0.85958202	0.85996274	0.859852406	0.860200053	0.861839981	0.866237499	0.868580464
0.798931795	0.804491123	0.804431141	0.808414912	0.806986277	0.811751136	0.811588699	0.813158658	0.817339462	0.816875158	0.817870415	0.818024175	0.818110156	0.819071717	0.819976937	0.824634617	0.827809053
0.754208754	0.760806916	0.760735727	0.765463918	0.763768323	0.769423559	0.769230769	0.771094095	0.776056138	0.776007051	0.77712457	0.778164944	0.778833806	0.779631447	0.782100047	0.786632905	0.786213556
0.715541767	0.721299592	0.721960966	0.726814833	0.725664877	0.730445911	0.730982442	0.73307851	0.738660345	0.73826055	0.739577491	0.741298928	0.74239348	0.742932583	0.742356672	0.747967429	0.749091453
0.679321028	0.684307639	0.685632061	0.690591952	0.689938533	0.693919245	0.695116086	0.697419736	0.703554364	0.701714758	0.702001623	0.704009051	0.705274675	0.706299068	0.708703853	0.713641025	0.714157379
0.643728009	0.647995758	0.649915135	0.65495063	0.654749523	0.657989152	0.659778993	0.662261137	0.668871094	0.667951799	0.669097714	0.669455047	0.669690401	0.671336885	0.673029566	0.678968432	0.681067016
0.610929715	0.614542897	0.616999116	0.622098522	0.622307039	0.624872911	0.627197942	0.62983943	0.636873724	0.63488264	0.63645037	0.6372618	0.637759189	0.639186506	0.641298362	0.647218141	0.649178521
0.579124579	0.582132565	0.585066467	0.590206186	0.590784924	0.59273183	0.595533499	0.598310186	0.605704515	0.603650104	0.607812745	0.6080617	0.607714405	0.608319739	0.608904322	0.614529293	0.617803175
0.550209744	0.553067545	0.555854961	0.560738062	0.561287905	0.563137604	0.56579939	0.568437442	0.575462583	0.573553623	0.576095198	0.576362908	0.576088011	0.576685738	0.581956196	0.586203278	0.587112987
0.522738583	0.525453699	0.528101944	0.532741238	0.533263628	0.535020975	0.537549862	0.540056199	0.546730585	0.544957677	0.54603277	0.546316601	0.546107504	0.546696777	0.556200707	0.559182918	0.557947374
0.496639017	0.499218571	0.501734593	0.506142254	0.506638563	0.508308167	0.51071079	0.51309199	0.519433134	0.517787453	0.517539093	0.517836635	0.517687229	0.518267309	0.531585073	0.53340803	0.530230601
0.471842564	0.474293325	0.476683725	0.480871319	0.481342847	0.482929091	0.485211754	0.487474064	0.493498604	0.491971869	0.490532303	0.490841355	0.490745988	0.491316238	0.508058846	0.508821206	0.503890696
0.448284161	0.450612559	0.45288361	0.456862123	0.457310109	0.458817154	0.460985848	0.463135204	0.468858947	0.467443385	0.464934812	0.465253363	0.465206811	0.465766684	0.485573813	0.485367683	0.47885926
0.425901995	0.428114139	0.4302718	0.434051672	0.43447729	0.435909091	0.437969505	0.440011547	0.445449512	0.444137829	0.440673077	0.440999295	0.440996732	0.441545764	0.464083895	0.462995222	0.455071294
0.404637337	0.406739032	0.408788964	0.412380112	0.41278448	0.414144793	0.416102334	0.41804242	0.423208875	0.42199423	0.417677394	0.418009613	0.418046583	0.418584387	0.443545051	0.441653995	0.432465026
0.384434392	0.386431152	0.388378735	0.391790582	0.39217476	0.393467155	0.395326958	0.397170179	0.402078681	0.400954656	0.395881696	0.396218403	0.396290795	0.396817053	0.42391519	0.421296466	0.410981755
0.36524015	0.367137215	0.368987558	0.372229057	0.372594053	0.37382192	0.375588867	0.377340058	0.382003486	0.380964062	0.375223366	0.375563189	0.375667212	0.37618167	0.405154082	0.401877294	0.390565693
0.347004248	0.348806596	0.350564553	0.353644209	0.353990982	0.355157544	0.356836269	0.358500026	0.362930616	0.361970149	0.355643051	0.355984749	0.356116912	0.356619373	0.387223279	0.383353226	0.371163827
0.268606297	0.270001444	0.271362229	0.273746105	0.274014532	0.274917535	0.276216989	0.277504857	0.280934453	0.280295738	0.272042395	0.272378776	0.272608337	0.273049537	0.308793151	0.302780143	0.287689093
0.207920632	0.209000576	0.210053922	0.211899214	0.212106996	0.212805985	0.213811856	0.214808759	0.217463513	0.217050221	0.208093662	0.20840836	0.208682325	0.209063374	0.246248652	0.239141889	0.222987825
0.160945554	0.161781508	0.162596874	0.164025263	0.164186101	0.164727169	0.165505786	0.16627746	0.168332432	0.168075329	0.159177293	0.159461927	0.159746812	0.160071667	0.196372226	0.188879108	0.17283787
[SPdata]																
11																
0.625	1.25	2.5	5	7.5	10	15	20	25	30	40						
0.613	0.700	0.724	0.736	0.742	0.744	0.745	0.746	0.747	0.748	0.749						
[OARXOPENdata]																
4																
1.5	5	10	20													
51																
1	1	1	1													
1.00053804	0.995641188	0.999950996	0.997098637													
0.995862776	0.994170021	0.996046415	0.994063389													
0.987033348	0.987689653	0.988470938	0.988061802													
