[TPRdata]																
1.1235558	1.121904842	1.119741469	1.118830998	1.116810598	1.114510292	1.11218345	1.111246163	1.108750166	1.107247735	1.10575628	1.104570803	1.104188735	1.087610479	1.097996322	1.091743795	1.083220677
1.060542889	1.059758538	1.058730744	1.05829819	1.057338321	1.056245472	1.055140016	1.054694722	1.053508902	1.053460888	1.05291253	1.052013969	1.052054013	1.047421392	1.046078669	1.045552225	1.042997099
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0.936120268	0.937721092	0.93770382	0.938850958	0.938439579	0.939811633	0.939764859	0.940216933	0.941420807	0.951850728	0.952913134	0.951598279	0.952080328	0.954460049	0.952551206	0.953337507	0.953174292
0.894151873	0.897227399	0.897194216	0.899398113	0.898607765	0.901243776	0.901153913	0.902022443	0.904335343	0.90477241	0.905762211	0.906243882	0.906341459	0.907487451	0.906651248	0.908175872	0.910282772
0.845595828	0.849983583	0.849936242	0.853080472	0.851952907	0.855713619	0.855585415	0.856824519	0.86012426	0.859608701	0.85958202	0.85996274	0.859852406	0.860200053	0.861839981	0.866237499	0.868580464
0.798931795	0.804491123	0.804431141	0.808414912	0.806986277	0.811751136	0.811588699	0.813158658	0.817339462	0.816875158	0.817870415	0.818024175	0.818110156	0.819071717	0.819976937	0.824634617	0.827809053
0.754208754	0.760806916	0.760735727	0.765463918	0.763768323	0.769423559	0.769230769	0.771094095	0.776056138	0.776007051	0.77712457	0.778164944	0.778833806	0.779631447	0.782100047	0.786632905	0.786213556
0.715541767	0.721299592	0.721960966	0.726814833	0.725664877	0.730445911	0.730982442	0.73307851	0.738660345	0.73826055	0.739577491	0.741298928	0.74239348	0.742932583	0.742356672	0.747967429	0.749091453
0.679321028	0.684307639	0.685632061	0.690591952	0.689938533	0.693919245	0.695116086	0.697419736	0.703554364	0.701714758	0.702001623	0.704009051	0.705274675	0.706299068	0.708703853	0.713641025	0.714157379
0.643728009	0.647995758	0.649915135	0.65495063	0.654749523	0.657989152	0.659778993	0.662261137	0.668871094	0.667951799	0.669097714	0.669455047	0.669690401	0.671336885	0.673029566	0.678968432	0.681067016
0.610929715	0.614542897	0.616999116	0.622098522	0.622307039	0.624872911	0.627197942	0.62983943	0.636873724	0.63488264	0.63645037	0.6372618	0.637759189	0.639186506	0.641298362	0.647218141	0.649178521
0.579124579	0.582132565	0.585066467	0.590206186	0.590784924	0.59273183	0.595533499	0.598310186	0.605704515	0.603650104	0.607812745	0.6080617	0.607714405	0.608319739	0.608904322	0.614529293	0.617803175
0.550209744	0.553067545	0.555854961	0.560738062	0.561287905	0.563137604	0.56579939	0.568437442	0.575462583	0.573553623	0.576095198	0.576362908	0.576088011	0.576685738	0.581956196	0.586203278	0.587112987
0.522738583	0.525453699	0.528101944	0.532741238	0.533263628	0.535020975	0.537549862	0.540056199	0.546730585	0.544957677	0.54603277	0.546316601	0.546107504	0.546696777	0.556200707	0.559182918	0.557947374
0.496639017	0.499218571	0.501734593	0.506142254	0.506638563	0.508308167	0.51071079	0.51309199	0.519433134	0.517787453	0.517539093	0.517836635	0.517687229	0.518267309	0.531585073	0.53340803	0.530230601
0.471842564	0.474293325	0.476683725	0.480871319	0.481342847	0.482929091	0.485211754	0.487474064	0.493498604	0.491971869	0.490532303	0.490841355	0.490745988	0.491316238	0.508058846	0.508821206	0.503890696
0.448284161	0.450612559	0.45288361	0.456862123	0.457310109	0.458817154	0.460985848	0.463135204	0.468858947	0.467443385	0.464934812	0.465253363	0.465206811	0.465766684	0.485573813	0.485367683	0.47885926
0.425901995	0.428114139	0.4302718	0.434051672	0.43447729	0.435909091	0.437969505	0.440011547	0.445449512	0.444137829	0.440673077	0.440999295	0.440996732	0.441545764	0.464083895	0.462995222	0.455071294
0.404637337	0.406739032	0.408788964	0.412380112	0.41278448	0.414144793	0.416102334	0.41804242	0.423208875	0.42199423	0.417677394	0.418009613	0.418046583	0.418584387	0.443545051	0.441653995	0.432465026
0.384434392	0.386431152	0.388378735	0.391790582	0.39217476	0.393467155	0.395326958	0.397170179	0.402078681	0.400954656	0.395881696	0.396218403	0.396290795	0.396817053	0.42391519	0.421296466	0.410981755
0.36524015	0.367137215	0.368987558	0.372229057	0.372594053	0.37382192	0.375588867	0.377340058	0.382003486	0.380964062	0.375223366	0.375563189	0.375667212	0.37618167	0.405154082	0.401877294	0.390565693
0.347004248	0.348806596	0.350564553	0.353644209	0.353990982	0.355157544	0.356836269	0.358500026	0.362930616	0.361970149	0.355643051	0.355984749	0.356116912	0.356619373	0.387223279	0.383353226	0.371163827
0.268606297	0.270001444	0.271362229	0.273746105	0.274014532	0.274917535	0.276216989	0.277504857	0.280934453	0.280295738	0.272042395	0.272378776	0.272608337	0.273049537	0.308793151	0.302780143	0.287689093
0.207920632	0.209000576	0.210053922	0.211899214	0.212106996	0.212805985	0.213811856	0.214808759	0.217463513	0.217050221	0.208093662	0.20840836	0.208682325	0.209063374	0.246248652	0.239141889	0.222987825
0.160945554	0.161781508	0.162596874	0.164025263	0.164186101	0.164727169	0.165505786	0.16627746	0.168332432	0.168075329	0.159177293	0.159461927	0.159746812	0.160071667	0.196372226	0.188879108	0.17283787
[SPdata]																
11																
0.6	1.25	2.5	5	7.5	10	15	20	25	30	40						
0.63	0.803	0.859	0.89	0.903	0.91	0.916	0.919	0.92	0.921	0.921						
[OARXOPENdata]																
4																
1.5	5	10	20													
51																
1	1	1	1													
0.999	0.9995	1.001	0.9998													
0.997	0.9947	0.9971	0.9968													
0.99	0.9913	0.9933	0.9912													
0.9839	0.9838	0.9846	0.9825													
0.9764	0.9746	0.9765	0.9773													
0.9653	0.9648	0.9668	0.9654													
0.9523	0.9533	0.9539	0.9558													
0.9409	0.9403	0.9433	0.9424													
0.9289	0.9265	0.9283	0.9288													
0.9127	0.9127	0.9147	0.9168													
0.9015	0.8985	0.8997	0.8993													
0.8864	0.8858	0.8861	0.8846													
0.871	0.869	0.8714	0.8677													
0.8576	0.8577	0.8587	0.8538													
0.8431	0.8432	0.8429	0.8394													
0.8268	0.8278	0.828	0.8254													
0.8138	0.8135	0.8128	0.8102													
0.7978	0.8	0.7979	0.7941													
0.7857	0.7829	0.7833	0.7805													
0.7717	0.7711	0.7687	0.7669													
0.758	0.7558	0.7555	0.7521													
0.7445	0.7439	0.7416	0.7387													
0.7325	0.7308	0.7277	0.7254													
0.7201	0.7163	0.716	0.7104													
0.7066	0.7041	0.7045	0.6978													
0.6949	0.6919	0.6906	0.6847													
0.6836	0.6798	0.6781	0.6706													
0.6699	0.6695	0.6653	0.6581													
0.6579	0.6564	0.6537	0.6452													
0.6479	0.6453	0.6411	0.6328													
0.6371	0.6333	0.6298	0.621													
0.625	0.621	0.618	0.6108													
0.6152	0.6109	0.606	0.5982													
0.6042	0.6005	0.596	0.5844													
0.595	0.5894	0.5851	0.5747													
0.5832	0.5789	0.5737	0.5614													
0.5737	0.5687	0.5625	0.5491													
0.5632	0.5583	0.5539	0.5398													
0.5532	0.5468	0.5421	0.5265													
0.5424	0.5359	0.5299	0.5154													
0.5326	0.5253	0.5178	0.5019													
0.5203	0.5143	0.5056	0.4874													
0.5103	0.5007	0.4918	0.4741													
0.4973	0.4871	0.4757	0.4588													
0.4805	0.4699	0.4564	0.4406													
0.4187	0.4081	0.3917	0.3931													
0.1149	0.1187	0.1229	0.1347													
0.0203	0.0286	0.0359	0.0448													
0.012	0.0185	0.0251	0.0001													
0.0093	0.0142	0.02	0.0001													
[OARXLEAVESdata]																
3																
1																
2																
4																
4																
1.5																
5																
10																
20																
43																
0																
1																
2																
3																
4																
5																
6																
7																
8																
9																
10																
11																
12																
13																
14																
15																
16																
17																
18																
19																
20																
21																
22																
23																
24																
25																
26																
27																
28																
29																
30																
35																
40																
45																
50																
55																
60																
65																
70																
75																
80																
85																
90																
1	1	1	1													
0.950761492	0.959263852	0.967080722	0.956907228													
0.834179584	0.8473666	0.851792605	0.851085093													
0.66959552	0.67971688	0.680596116	0.685564271													
0.484216439	0.493276804	0.495385434	0.486669481													
0.318349172	0.324460135	0.327581033	0.31604353													
0.185371688	0.190090596	0.195043986	0.188990177													
0.103041179	0.111802297	0.117094494	0.115843522													
0.06009679	0.070286532	0.075531577	0.076178747													
0.037691164	0.047429924	0.05258043	0.054305368													
0.025457239	0.034642547	0.0393881	0.041544216													
0.018125108	0.026966047	0.031613598	0.033983733													
0.013607447	0.021639732	0.02620295	0.029087014													
0.010387365	0.017797991	0.022333482	0.025626442													
0.008351652	0.015126905	0.019421523	0.022651369													
0.007125601	0.013280928	0.017561223	0.020796818													
0.006413749	0.012330378	0.016517552	0.019966986													
0.006161272	0.01149895	0.015663556	0.019456871													
0.005710934	0.01084868	0.014826125	0.018592601													
0.005359154	0.00998184	0.013974931	0.017830359													
0.00487531	0.009156537	0.013117583	0.016528832													
0.004407808	0.008458485	0.012017539	0.0154381													
0.004102353	0.007897146	0.011198498	0.014269368													
0.004123128	0.007662626	0.011142349	0.01425767													
0.004213245	0.007409939	0.011002502	0.014278332													
0.004295837	0.007300607	0.010626915	0.014227543													
0.004181706	0.007123441	0.010236038	0.013541022													
0.003841695	0.006584042	0.009608234	0.012549436													
0.003421799	0.005878912	0.009002536	0.011870607													
0.003254485	0.005480475	0.008253344	0.011183827													
0.003199702	0.005407712	0.008080283	0.01102202													
0.002984046	0.004695679	0.006898463	0.009416433													
0.00325825	0.004541804	0.006595376	0.009020884													
0.002765812	0.003797293	0.005382933	0.007696456													
0.002568647	0.003337722	0.004705036	0.006519854													
0.002915683	0.003802099	0.005010317	0.007003486													
0.002457123	0.003221339	0.004318114	0.005972435													
0.002100147	0.002661268	0.003654349	0.004971662													
0.002448896	0.002962962	0.003955858	0.005619015													
0.002436775	0.0029411	0.003876149	0.005254458													
0.002009151	0.002571771	0.003217587	0.004504986													
0.002435403	0.002798039	0.003846247	0.005145173													
0.002087074	0.003024307	0.004474908	0.00578536													
1	1	1	1													
1.002919995	0.998693696	0.987657512	0.994173011													
0.996184706	0.980227316	0.978160765	0.977147519													
0.955697306	0.950734679	0.946855386	0.945776551													
0.898095689	0.900229522	0.893343259	0.895064405													
0.797328014	0.800683637	0.800894997	0.813689592													
0.668546449	0.672907613	0.668657727	0.679041011													
0.514724682	0.517342811	0.518853575	0.521459514													
0.359927621	0.359930713	0.365218095	0.365155669													
0.22789052	0.23257057	0.236164693	0.233877532													
0.128919077	0.140384165	0.145008663	0.145417008													
0.074276331	0.088073208	0.09406246	0.096194157													
0.047107035	0.060498759	0.066340326	0.070753065													
0.031880221	0.044432924	0.050809705	0.055730397													
0.023274006	0.034528836	0.041269553	0.046066625													
0.017803685	0.028427247	0.035275798	0.040671824													
0.014251361	0.02404686	0.030637754	0.036414356													
0.011594646	0.020783631	0.027053854	0.033196469													
0.009888874	0.018357329	0.024759733	0.030160422													
0.008607436	0.016703179	0.022753484	0.028306225													
0.007978311	0.015408771	0.02150872	0.027276488													
0.007401259	0.014176926	0.020394068	0.026182395													
0.006854412	0.013395421	0.019225717	0.024904552													
0.006270666	0.012301977	0.018063078	0.023827439													
0.005697081	0.011346038	0.016612714	0.022556297													
0.005238949	0.010425473	0.015706482	0.021302713													
0.005032232	0.009782918	0.01498805	0.02003258													
0.005005862	0.009570107	0.014662484	0.01987608													
0.005001087	0.009192868	0.014034284	0.019449075													
0.00487487	0.008886392	0.013694002	0.018910903													
0.004570169	0.008294981	0.013027179	0.018249734													
0.00390609	0.006741944	0.010488326	0.015189331													
0.002987523	0.005117826	0.008301141	0.012343124													
0.003164792	0.00489372	0.007822889	0.011422484													
0.00292342	0.004375152	0.006697701	0.010479392													
0.002464259	0.00355763	0.005595855	0.008865845													
0.002647956	0.003631712	0.005538964	0.008694132													
0.00251455	0.003255901	0.005019371	0.008006572													
0.002282476	0.003134416	0.004452846	0.00724869													
0.002408456	0.003220491	0.004220207	0.00681168													
0.002418423	0.003236485	0.004319892	0.00637467													
0.002036517	0.002453231	0.003896849	0.005937661													
0.002041548	0.001669978	0.003473806	0.005500651													
1	1	1	1													
1.001291748	1.004000418	1.003376522	1.000480658													
1.00137297	1.001697714	1.000145653	0.995247184													
0.99981718	0.997038686	1.000947601	0.996507041													
0.998423056	0.998957138	0.999259363	0.996108924													
0.99482864	0.990501046	0.997798268	0.994769887													
0.995048139	0.99065048	0.991929389	0.989185433													
0.986561641	0.984835062	0.981562964	0.979799594													
0.977779996	0.971505396	0.973942058	0.968801304													
0.963245618	0.952142837	0.956749948	0.955842109													
0.936903799	0.930506756	0.93102055	0.92871547													
0.890161295	0.88917862	0.890546239	0.892535478													
0.807079964	0.811562922	0.817533757	0.827092968													
0.689575627	0.697383716	0.708961786	0.720428634													
0.547736376	0.562635771	0.57102549	0.580010394													
0.399549548	0.413509521	0.427791868	0.431909879													
0.266393538	0.284259375	0.295621186	0.302634289													
0.162223383	0.1837032	0.197690461	0.21000466													
0.098425006	0.121690035	0.13832909	0.154922039													
0.064765583	0.088088468	0.106840577	0.123070037													
0.046151156	0.069182753	0.087948478	0.104759476													
0.035672162	0.057519778	0.076084177	0.093675557													
0.029218298	0.049881975	0.067868589	0.08631484													
0.024756023	0.044505859	0.062549587	0.080435948													
0.021651226	0.040108429	0.057894596	0.075224852													
0.019452502	0.036764765	0.053969051	0.071039038													
0.017840235	0.034081846	0.050999921	0.068826717													
0.016659033	0.031931538	0.048613973	0.066157923													
0.015739653	0.030520048	0.046408604	0.063889792													
0.014920434	0.028921808	0.044262851	0.061687976													
0.014161416	0.027097563	0.042478958	0.059597041													
0.011053787	0.020774375	0.034054036	0.049953285													
0.008729082	0.016298647	0.027499672	0.042233039													
0.007716196	0.013786765	0.023724042	0.037076223													
0.006696459	0.011685459	0.020262432	0.033236467													
0.005817294	0.009992647	0.017476794	0.029360036													
0.005654932	0.009196893	0.015950732	0.027470259													
0.005280179	0.008328238	0.014715916	0.025193485													
0.004870597	0.007773603	0.013541503	0.023725801													
0.00484209	0.007596168	0.013086154	0.023096123													
0.004801034	0.007504383	0.012907522	0.022550391													
0.004441907	0.006963409	0.01233987	0.021985378													
0.004362139	0.00693524	0.011772219	0.021420365													
[OARYdata]																
3																
2.5																
10																
40																
5																
1.5																
5																
10																
15																
20																
51																
0																
1																
2																
3																
4																
5																
6																
7																
8																
9																
10																
11																
12																
13																
14																
15																
16																
17																
18																
19																
20																
21																
22																
23																
24																
25																
26																
27																
28																
29																
30																
31																
32																
33																
34																
35																
36																
37																
38																
39																
40																
45																
50																
55																
60																
65																
70																
75																
80																
85																
90																
1	1	1	1	1												
0.998446229	0.998899419	0.999231854	0.999945677	0.998524964												
0.998	0.997829495	0.997861612	0.998052272	0.998265138												
0.996	0.995717122	0.995862996	0.995345477	0.995292768												
0.992	0.991728669	0.991477962	0.991696857	0.991675186												
0.985237267	0.987176598	0.987097521	0.986351244	0.985604149												
0.984314944	0.976776294	0.979522634	0.979773445	0.97954365												
0.969493648	0.969610401	0.970536145	0.970823646	0.970857863												
0.956548076	0.95568892	0.957078628	0.955611326	0.956395301												
0.941996986	0.937454229	0.937827417	0.936978484	0.937753506												
0.906755829	0.910139181	0.911272616	0.911437254	0.912540819												
0.871987738	0.867127772	0.870584933	0.872223768	0.873378254												
0.810785062	0.799993228	0.805089334	0.809420766	0.810812588												
0.704883748	0.703121532	0.708686715	0.715714996	0.717154395												
0.57731253	0.583989316	0.588794068	0.59305098	0.596510146												
0.441412178	0.452786744	0.459458018	0.461673212	0.465592454												
0.321186737	0.329945779	0.336343209	0.338656693	0.34101153												
0.215293779	0.227829986	0.235106541	0.238965615	0.240019872												
0.141322408	0.154751575	0.164682898	0.168801685	0.170908542												
0.093690714	0.109277616	0.119622671	0.124040028	0.127756226												
0.06376233	0.079372973	0.089961113	0.095302353	0.098550223												
0.044750152	0.059515902	0.069737672	0.075438669	0.078562072												
0.032081442	0.046199667	0.056488781	0.061848397	0.065411364												
0.023756213	0.037117159	0.047170814	0.052408914	0.055832647												
0.018331197	0.030841084	0.040582283	0.046119431	0.049729436												
0.014766443	0.026345429	0.035946802	0.041513397	0.04457621												
0.012279322	0.023323767	0.032408026	0.03805631	0.041566443												
0.010632123	0.020849972	0.02990885	0.035423683	0.038547119												
0.009393554	0.01883872	0.027576929	0.032948395	0.0365377												
0.008268397	0.017163337	0.025626041	0.03065945	0.034102221												
0.007400862	0.015682148	0.023932811	0.028889495	0.03252291												
0.006677008	0.01449886	0.022463919	0.027528034	0.03048605												
0.006159737	0.013393478	0.021015711	0.026027608	0.029194003												
0.005626332	0.012400661	0.019777884	0.024679065	0.027879502												
0.005217315	0.011431503	0.018545815	0.023327647	0.026286313												
0.004817185	0.010732292	0.017543029	0.022153546	0.025153619												
0.004541353	0.010043409	0.016741652	0.021130616	0.023961674												
0.004219366	0.009439488	0.015821016	0.020152544	0.02310579												
0.003947249	0.008787888	0.014985993	0.019363528	0.022105538												
0.003727794	0.008295549	0.014189361	0.018319475	0.02136661												
0.003450511	0.007887389	0.013479633	0.01747892	0.020272773												
0.003173228	0.006044764	0.010660052	0.014311353	0.016565474												
0.002895946	0.004675897	0.008499214	0.01171029	0.014047172												
0.002618663	0.003686608	0.006942132	0.009776535	0.011783513												
0.002341381	0.003011023	0.005784948	0.00810656	0.009914403												
0.002064098	0.002560428	0.004814817	0.006873601	0.008575916												
0.001786815	0.002105355	0.004041896	0.005856852	0.007280122												
0.001509533	0.001832282	0.003485888	0.004991534	0.006317742												
0.00123225	0.001590236	0.002947346	0.004450865	0.005414114												
0.000954967	0.001365645	0.002498519	0.003776016	0.004768848												
0.000677685	0.001180342	0.002228714	0.00335707	0.004107258												
1	1	1	1	1												
0.999105765	0.99991139	1.000570408	1.000014042	0.999804493												
0.994798603	0.998512602	0.99934528	0.998203796	0.998451922												
0.994703934	0.996351374	0.996468588	0.996665094	0.996313989												
0.991904409	0.992967845	0.992286309	0.991965167	0.993022562												
0.989760656	0.988356597	0.986978676	0.987944497	0.987595125												
0.979696227	0.981409491	0.979474127	0.979668047	0.980532897												
0.968022999	0.971365538	0.970287644	0.96783769	0.971192332												
0.95297985	0.957239857	0.957002422	0.958641967	0.959874148												
0.930358975	0.937723781	0.937727494	0.941054605	0.940418127												
0.910221421	0.910794693	0.91251982	0.916042069	0.916472367												
0.865941959	0.869866481	0.872384376	0.876536845	0.879358445												
0.797793664	0.804930176	0.811472465	0.815559832	0.820121967												
0.702644911	0.711324787	0.720662909	0.726683527	0.732962003												
0.581014262	0.593994239	0.607055528	0.615391358	0.61938826												
0.452925672	0.468728232	0.481595727	0.490737062	0.496640945												
0.333152387	0.3487437	0.364319685	0.374646768	0.379749373												
0.227684453	0.249298724	0.267557497	0.279378983	0.285695782												
0.154550931	0.178651163	0.199578024	0.212479421	0.220196393												
0.107139984	0.132959682	0.155236978	0.169997473	0.17781739												
0.07739266	0.103337996	0.1262171	0.141328944	0.150522592												
0.057853409	0.083263092	0.106552495	0.122142285	0.130782256												
0.045006266	0.06968958	0.092588775	0.108357764	0.117135259												
0.036243133	0.059843997	0.082817886	0.098350743	0.10743444												
0.030376815	0.053078878	0.075501823	0.09141667	0.100586813												
0.026159577	0.048016176	0.069681211	0.085920805	0.094983297												
0.023430405	0.044254736	0.065817184	0.081358236	0.091030341												
0.021275324	0.041066801	0.062260893	0.077535984	0.087320166												
0.019525791	0.038228209	0.058986072	0.074259358	0.083632224												
0.018163197	0.036134517	0.056136123	0.071167286	0.080760758												
0.016940089	0.033867188	0.053902161	0.068074562	0.077874005												
0.015834816	0.031899451	0.05164503	0.06531823	0.07526186												
0.014863507	0.030308964	0.04949418	0.062964998	0.073265665												
0.013960855	0.028542765	0.04734999	0.060988195	0.070474698												
0.013253081	0.027147246	0.045678014	0.058492711	0.068202858												
0.012571412	0.025761709	0.043949847	0.056686653	0.066464591												
0.011992267	0.024693349	0.042386827	0.054516123	0.064153452												
0.01147244	0.023416277	0.040941411	0.052842041	0.062079057												
0.011047551	0.022388977	0.039568808	0.051018537	0.059934803												
0.010567619	0.021289633	0.038581567	0.049209189	0.05812238												
0.010099958	0.020357892	0.037086455	0.047692711	0.056337949												
0.009632298	0.016493481	0.030996643	0.040729471	0.047899601												
0.009164637	0.013713012	0.026025672	0.035130657	0.040374211												
0.008696976	0.011520706	0.02140076	0.03011087	0.034236859												
0.008229315	0.009787224	0.017892573	0.025470821	0.030757633												
0.007761654	0.008509847	0.015639101	0.022238939	0.026927944												
0.007293994	0.007482539	0.013742724	0.019337958	0.02362967												
0.006826333	0.006593204	0.012022847	0.016219859	0.020972068												
0.006358672	0.005898979	0.010842544	0.014232442	0.018698521												
0.005891011	0.005366748	0.00953596	0.012583462	0.016329503												
0.00542335	0.00489821	0.008479987	0.011250223	0.014379411												
1	1	1	1	1												
0.998	1	0.998	0.997	0.997931227												
1	0.999	0.997	0.995	0.997745902												
0.996	0.996	0.994	0.994	0.994800194												
0.992	0.993	0.992	0.991	0.991374184												
0.988	0.987	0.987	0.986	0.985993181												
0.978	0.98	0.979	0.978	0.979663048												
0.973	0.97	0.97	0.969	0.971228553												
0.958	0.957	0.956	0.957	0.958277677												
0.943	0.938	0.939	0.939	0.939859643												
0.918	0.912	0.913	0.914	0.916357206												
0.871	0.872	0.875	0.877	0.880833523												
0.801	0.807	0.814	0.818	0.823105861												
0.706	0.714	0.722	0.732	0.738737818												
0.588	0.598	0.609	0.62	0.628460172												
0.458	0.473	0.487	0.498	0.504300387												
0.335	0.354	0.371	0.383	0.390368345												
0.233	0.254	0.277	0.289	0.298771948												
0.161	0.184	0.209	0.225	0.234826321												
0.113	0.138	0.165	0.182	0.193133742												
0.082	0.109	0.137	0.154	0.165931738												
0.063	0.089	0.117	0.134	0.14635788												
0.05	0.075	0.103	0.121	0.132877502												
0.041	0.066	0.093	0.111	0.122846905												
0.036	0.059	0.086	0.104	0.115367198												
0.032	0.054	0.08	0.098	0.11016906												
0.029	0.05	0.076	0.093	0.10533188												
0.027	0.047	0.072	0.089	0.100908071												
